Chrom	Pos	Cov	Sample	Lane
1	1591532	224	1014489333.bam	1_lane
2	99517169	19	1014489333.bam	1_lane
3	67630336	95	1014489333.bam	1_lane
4	65267425	12	1014489333.bam	1_lane
5	107896830	202	1014489333.bam	1_lane
6	159804	26	1014489333.bam	1_lane
7	20520647	10	1014489333.bam	1_lane
8	89439943	26	1014489333.bam	1_lane
9	20682464	335	1014489333.bam	1_lane
10	72247435	16	1014489333.bam	1_lane
11	10193	29	1014489333.bam	1_lane
12	77630087	594	1014489333.bam	1_lane
13	61272735	20	1014489333.bam	1_lane
14	49973533	46	1014489333.bam	1_lane
15	39559007	11	1014489333.bam	1_lane
16	89983	64	1014489333.bam	1_lane
17	16529569	879	1014489333.bam	1_lane
18	20696147	25	1014489333.bam	1_lane
19	58982219	14	1014489333.bam	1_lane
1	1591532	638	1014489333.bam	2_lane
2	99517169	32	1014489333.bam	2_lane
3	67630336	171	1014489333.bam	2_lane
4	118271167	21	1014489333.bam	2_lane
5	107896830	327	1014489333.bam	2_lane
6	159787	32	1014489333.bam	2_lane
7	1334461	15	1014489333.bam	2_lane
8	89439943	52	1014489333.bam	2_lane
9	20682464	635	1014489333.bam	2_lane
10	70838951	24	1014489333.bam	2_lane
11	10193	82	1014489333.bam	2_lane
12	77630087	1189	1014489333.bam	2_lane
13	61272732	45	1014489333.bam	2_lane
14	49973513	87	1014489333.bam	2_lane
15	62396232	18	1014489333.bam	2_lane
16	89983	126	1014489333.bam	2_lane
17	16529565	2182	1014489333.bam	2_lane
18	20696153	45	1014489333.bam	2_lane
19	58982218	37	1014489333.bam	2_lane
1	1591532	1101	1014489333.bam	4_lane
2	99517169	76	1014489333.bam	4_lane
3	67630336	363	1014489333.bam	4_lane
4	112362988	38	1014489333.bam	4_lane
5	107896830	741	1014489333.bam	4_lane
6	159787	77	1014489333.bam	4_lane
7	78020027	28	1014489333.bam	4_lane
8	89439943	97	1014489333.bam	4_lane
9	20682464	1318	1014489333.bam	4_lane
10	72247435	50	1014489333.bam	4_lane
11	10193	154	1014489333.bam	4_lane
12	77630087	2410	1014489333.bam	4_lane
13	61272731	82	1014489333.bam	4_lane
14	49973513	182	1014489333.bam	4_lane
15	23268892	33	1014489333.bam	4_lane
16	89983	245	1014489333.bam	4_lane
17	16529565	4027	1014489333.bam	4_lane
18	20696147	89	1014489333.bam	4_lane
19	58982218	72	1014489333.bam	4_lane
1	1591532	2476	1014489333.bam	8_lane
2	99517169	152	1014489333.bam	8_lane
3	67630336	793	1014489333.bam	8_lane
4	112362988	90	1014489333.bam	8_lane
5	107896830	1540	1014489333.bam	8_lane
